Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Бебешко,Василь,Мартинович,Чоловік,10.07.2000,Астрофізик,село Новоазовськ,"набережна Миколи Бажана, буд. 0, Мостиська, 50483",712 90 84,tierchenko@example.org
Баранець,Георгій,Яремович,Чоловік,20.02.1942,Патологоанатом,місто Рені,"провулок Кар’єрна, буд. 75 кв. 56, Алчевськ, 35788",093 040 16 43,vashchukoleksa@example.org
Оберемко,Станіслав,Дмитрович,Чоловік,18.09.1988,Каскадер,село Зборів,"провулок Лиманчик 2-й Лінія 4-та, буд. 653, Рудки, 14353",+380 92 153-17-76,onishchukiryna@example.org
Корсун,Демид,Леонідович,Чоловік,23.04.1976,Драматург,селище Дунаївці,"проспект Долинська, буд. 24 кв. 94, Тячів, 45492",+380 08 428 25 94,qbabiichuk@example.com
Овсієнко,Мирослав,Олександрович,Чоловік,09.11.2000,Детектив,місто Суми,"набережна Кутузова, буд. 868 кв. 9, Городенка, 41109",018 242 70 40,nsimashkevych@example.org
Саєнко,Ярослав,Яремович,Чоловік,24.04.1998,Ювелір,село Березне,"сквер Академіка Гаркавого, буд. 045 кв. 32, Корсунь-Шевченківський, 34260",167 74 55,nestor47@example.com
Оліфіренко,Віктор,Зорянович,Чоловік,16.07.2005,Продюсер,місто Яворів,"узвіз Приморський, буд. 8 кв. 71, Харків, 81069",+380 08 629-16-50,nestorshakhrai@example.com
Голобородько,Леопольд,Омелянович,Чоловік,15.03.1973,Електромонтер,хутір Здолбунів,"провулок Рівності 2-й, буд. 88, Рубіжне, 06636",129 99 72,ozabila@example.com
Дубенко,Єлисей,Єфремович,Чоловік,20.08.1960,Провізор,хутір Володимир-Волинський,"узвіз Платанова, буд. 627, Ватутіне, 33437",+380 83 852-95-79,artymroksolana@example.org
Гоголь,Зорян,Теодорович,Чоловік,21.05.1999,Фрілансер,хутір Ірпінь,"провулок Луцька, буд. 593 кв. 530, Вуглегірськ, 85444",077-30-75,vakhniifeofan@example.com
Рудик,Опанас,Альбертович,Чоловік,02.06.1956,Клавішник,місто Ялта,"вулиця Самодіяльна, буд. 9, Глиняни, 73325",+380 07 158-58-48,kostiantyn44@example.net
Тесленко,Семен,Георгійович,Чоловік,21.05.1975,Кушнір,селище Чуднів,"площа Гастелло, буд. 99 кв. 77, Сміла, 79350",234-35-36,lutsenkomilena@example.com
Малик,Климент,Яремович,Чоловік,12.04.1986,Електромонтажник,місто Горішні Плавні,"площа Аполона Скальковського, буд. 33, Хрестівка, 21439",873-42-54,wpetryk@example.com
Дашенко,Левко,Святославович,Чоловік,07.04.2002,Конструктор,хутір Сіверськ,"провулок Ланжеронівський узвіз, буд. 5 кв. 4, Тиврів, 20878",+380 66 372-88-85,jiukhymenko@example.com
Архимович,Святослав,Остапович,Чоловік,08.02.1952,Підприємець,село Вільногірськ,"сквер Ползунова 1-й, буд. 68 кв. 856, Жовті Води, 04879",736-08-18,ruslan56@example.net
Ільченко,Стефан,Трохимович,Чоловік,25.10.1967,Секретар,місто Калинівка ,"парк Академіка Вільямса, буд. 8 кв. 8, Бобринець, 34970",048 169-09-14,erika91@example.net
Безбородько,Віктор,Амвросійович,Чоловік,06.08.1991,Дантист,хутір Теребовля,"парк Промисловий, буд. 439, Ланівці, 31434",017 571-19-47,xrebryk@example.org
Цюцюра,Єлисей,Владиславович,Чоловік,01.02.1945,Електромонтер,місто Ржищів,"парк Романа Кармена, буд. 9, Сокиряни, 07714",076 819 59 42,larysa86@example.net
Джунь,Нестор,Стефанович,Чоловік,12.12.1962,Державний службовець,місто Ковель,"провулок Дігтярна, буд. 3, Мала Виска, 88448",+380 09 586 98 67,bhres@example.net
Гавриленко,Левко,Прохорович,Чоловік,16.02.1943,Різноробочий,село Тальне,"узвіз Паустовського, буд. 669 кв. 07, Берислав, 50947",076 795 19 11,symon78@example.org
Стець,Дан,Едуардович,Чоловік,26.08.1990,Нотаріус,селище Новоселиця,"парк Скворцова, буд. 4 кв. 686, Вишгород, 16706",095 725 16 31,telizhenkoherman@example.net
Гуцуляк,Юхим,Трохимович,Чоловік,12.03.2001,Кінорежисер,село Кипуче,"парк Кленова, буд. 780 кв. 67, Чуднів, 35908",+380 (77) 072-78-73,danylokabaliuk@example.org
Аврамчук,Борислав,Демʼянович,Чоловік,26.02.1983,Хореограф,місто Рожище,"набережна Лінія 25-та, буд. 0 кв. 75, Макіївка, 30182",+380 18 867-83-71,havrylozakharchenko@example.org
Заєць,Климент,Микитович,Чоловік,03.03.2007,Композитор,місто Покров,"провулок Михайлівська, буд. 1, Тальне, 44625",018 593-70-77,iustyna94@example.org
Івасюк,Гордій,Русланович,Чоловік,09.01.1939,Актор,село Олевськ,"провулок Пушкінська, буд. 4 кв. 38, Охтирка, 20267",+380 33 148 46 86,kostiantyn51@example.net
Забарний,Станіслав,Панасович,Чоловік,22.05.1996,Промисловець,селище Володимир-Волинський,"проспект Ювілейний 2-й, буд. 7 кв. 808, Красногорівка, 14692",+380 00 018-63-29,irena25@example.com
Чайка,Мирон,Дмитрович,Чоловік,19.12.1957,Реабілітолог,село Нововолинськ,"провулок Іванова Ігоря, буд. 17, Рівне, 39076",+380 (74) 774-88-55,stepanbevzenko@example.org
Конопленко,Зиновій,Теодорович,Чоловік,16.06.1974,Намотувальник,село Первомайський ,"шосе Яблучна, буд. 40, Молочанськ, 48370",057 010 59 46,pylyp11@example.org
Шутько,Ростислав,Зорянович,Чоловік,28.06.1996,Ветеринар,хутір Новодністровськ,"сквер Асташкіна, буд. 116 кв. 91, Хмельницький, 70607",242 84 77,tetianavdovychenko@example.com
Бабиченко,Назар,Яремович,Чоловік,26.12.1956,Прокурор,селище Берегове,"вулиця Нечипуренка, буд. 9, Кіцмань, 02663",+380 12 464-74-80,alina63@example.org
Чаленко,Нестор,Зиновійович,Чоловік,16.11.2006,Євнух,хутір Берегове,"провулок Неплія, буд. 086 кв. 75, Добромиль, 78300",074-94-99,glazarenko@example.com
Короленко,Гаврило,Трохимович,Чоловік,10.06.1993,Скульптор,селище Зеленодольськ,"проспект Лінія 44-та, буд. 87 кв. 60, Житомир, 70183",+380 (99) 232-22-53,fskorobohatko@example.org
